jp,en
英語 (えいご),English
算数 (さんすう),math
理科 (りか),science
社会 (しゃかい),social studies
国語 (こくご),Japanese
音楽 (おんがく),music
図工 (ずこう),art and crafts
体育 (たいいく),PE 
道徳 (どうとく),moral education
